SB_DEPTH_pxl,SB_DEPTH_cm,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
19580,198.5770351661162,140.17932216687765,6.321926842347987,133.52672503619797,6.11154290175566,98.57528968973341,5.624619592470232,132.41757355416576,5.9626565852800715
19590,198.67845346803963,139.2895753923452,6.2744956769448805,132.0470742690791,5.767172197879997,97.49818820326982,5.332570352091007,131.09240043393405,5.690315244750504
19600,198.77987176996308,136.18016435999394,5.968230474772233,129.26083130409503,5.255842885779598,95.10772266188324,4.965677379774083,128.26602706781142,5.223074030132826
19610,198.88129007188655,135.29192244258542,6.333248783997042,127.81428739370293,5.627117756009732,94.11564560292254,5.3238999802776155,126.97099066780098,5.618120748192267
19620,198.98270837381,136.50709457017098,6.305019156196117,129.3025910892845,5.711162277505342,95.1773223038657,5.395490083393723,128.37042412301372,5.671604089798831
19630,199.08412667573344,135.94540664865852,5.7702332673818315,128.53059938470074,5.262979521145793,94.13107038844298,5.234950101003829,127.62334141548835,5.203474989019942
19640,199.1855449776569,136.0067295764593,5.899856960977952,128.51931295627116,5.400783113586399,94.42677481329815,5.316637794696945,127.64965647580047,5.326548494634169
19650,199.28696327958033,134.2396510986669,5.884567990940372,126.94222269037682,5.3914139147351685,92.87075254713908,5.310161067237038,126.03369582563752,5.329241021719975
19660,199.3883815815038,134.05793960095056,5.917331979870658,126.91400661930285,5.328023930126441,92.61680790747334,5.226510265942276,125.95654902420704,5.272297360493148
19670,199.48979988342725,135.90101336350216,6.216734547976132,129.18408359077384,5.665994560533923,95.15625430413047,5.469019067437962,128.1552935859602,5.597398290896016
19680,199.5912181853507,135.93148672026203,6.192328815558812,129.04225080684202,5.623088105302993,95.15926401837837,5.421908442605795,128.06055071590802,5.58456321668643
19690,199.69263648727414,137.19631913293776,6.305251855398006,130.60090657296803,5.557927581392186,97.22279934958789,5.2461270438295715,129.59319194168953,5.542834748085123
19700,199.7940547891976,141.05213929876572,7.5009849353268265,134.62940909376866,6.871056370020551,100.80774523310576,6.42456159126831,133.55295740461116,6.842775275768685
19710,199.89547309112106,144.5904346114413,8.824377825093393,138.55482890157907,8.340720906492434,104.44648975880466,7.9796350167159895,137.37537658938746,8.30418663757124
19720,199.9968913930445,145.1566371043256,7.543706714871675,139.08002403783587,6.812648562783787,104.94497368111142,6.448557978339033,137.90736134001605,6.805273361568204
19730,200.09830969496795,146.0456314502961,7.515777527308802,139.48407817561508,6.822468617736544,105.39342110404702,6.4459594662082695,138.41771896124504,6.813826366932245
19740,200.1997279968914,142.0679178574286,6.829244101655761,135.21743201495016,6.18410525136822,101.9958299324603,6.005399833483196,134.2752456347053,6.1554634359176115
19750,200.30114629881484,140.24741695173617,6.165057028122287,133.11740389848498,5.432864599822087,99.00078804152885,5.41334462231992,132.17002500873392,5.422863968993696
19760,200.40256460073832,138.84338525509554,5.634447919716713,131.257400493289,4.962611812342368,97.30895241993373,4.986423933040591,130.41910290275283,4.929610063375702
19770,200.50398290266176,137.14026320507082,6.118435326127098,129.56255515744598,5.607840136808466,95.41584215801099,5.404010951136202,128.7081832098118,5.53828718331577
19780,200.6054012045852,133.827696460987,5.205876356580129,125.9396116315485,4.7521152132497795,92.21764455534696,4.96099022373558,125.1818924433854,4.6888009220254006
19790,200.70681950650865,133.2588604681358,5.422235332406737,124.87868735916732,4.833056072507333,90.6604936463449,4.761985464068533,124.18975857606823,4.797850434753003
19800,200.8082378084321,133.35216160982037,5.911467621496374,125.22630935479859,5.282427922840027,91.24550685327851,5.209256008299074,124.50045160360648,5.2621761324118435
19810,200.90965611035554,132.64713604725216,5.555368373024421,125.05136971414001,5.116634690888143,90.09654843914655,4.993362298091337,124.1424915405051,5.064285800131798
19820,201.01107441227902,134.17155631380842,5.480268256207902,126.16308291445434,4.922695192676468,91.59801963456262,4.960214797768339,125.37008679034882,4.8935180288280895
19830,201.11249271420246,134.54739438051365,5.602113083471272,126.89444347669159,5.104888445402112,92.1758847701575,5.169699871365842,126.0147809002324,5.073011184581167
19840,201.2139110161259,137.33514220262168,6.166629468356275,129.91619658157305,5.625617743857114,95.1472251613868,5.545860982751011,128.98314468407054,5.595068157880553
19850,201.31532931804935,136.9024957794875,6.003678788876034,128.9143379513067,5.398754508217613,94.82894787967244,5.293910762375958,128.15165514240596,5.370961063380217
19860,201.4167476199728,136.69858763919297,5.734674850416543,129.10169266323786,5.148376054640919,95.4888277285223,5.091761090231945,128.28994368683942,5.112968429643978
19870,201.51816592189627,137.07179220593133,5.532290574436596,129.66751894184117,4.969213635979036,95.78791808190635,4.767464315545529,128.7955602556994,4.915331745856382
19880,201.61958422381971,137.93971855216657,5.201810823165332,130.69044557184276,4.583170566321964,96.96923092420315,4.5377858036712135,129.79696930989996,4.539790557988621
19890,201.72100252574316,140.3392132362968,5.852312705247388,132.98911482866865,5.244707621974746,98.95225639928162,4.91527642762846,132.09428457152868,5.200303793220742
19900,201.8224208276666,145.79544895344026,7.595680117013881,139.52470931796162,7.036921983367444,106.27225766443088,6.441333762506023,138.45704155507946,6.957263843928631
19910,201.92383912959005,145.9030462378023,7.088464541774897,141.2274551537053,6.7042139554163995,108.37943385223481,6.344177674056741,139.84985868021818,6.603049094268589
19920,202.02525743151352,145.9222331661326,6.316306199037536,141.73722550444168,5.835208596100057,108.49342677937364,5.519935057588993,140.22675586536727,5.738777548306752
19930,202.12667573343697,148.74459270209135,5.851740308660323,144.52158739802084,5.236782947573825,110.67923175190369,4.728497165062067,142.97598024801658,5.148178858509653
19940,202.2280940353604,148.84729920080062,5.563628222661899,145.13030210465658,5.003637776658099,111.64986459684818,4.648268563669703,143.50324809923302,4.915083530040954
19950,202.32951233728386,146.7747347268474,5.9004457594320785,142.67512770694037,5.200484127463519,110.14914582999408,4.666690094703097,141.19832826785708,5.118302080589457
19960,202.4309306392073,145.72584931145778,5.690823827882919,141.86400971713405,5.003103480840667,109.06752977215864,4.594960439437972,140.31713096286003,4.932079034938447
19970,202.53234894113078,144.27516704397485,5.672410196732955,140.415960949618,5.2092273668942495,107.93662964351401,4.7491573821047455,138.89142044497754,5.084315188536037
19980,202.63376724305422,142.25527256935973,5.3337861636927295,138.66204997166017,4.846115211176887,106.48143280465924,4.436957714470581,137.1025285364736,4.6994603136836846
19990,202.73518554497767,142.40538206747325,5.822561347036199,138.529246330472,5.213839425989258,106.83846015731517,4.626751391635389,137.06523802645657,5.086114212337045
20000,202.8366038469011,141.86100000288616,5.515249314400937,137.37013013075344,4.761306358553291,105.42464688936889,4.292665255991899,136.01842517554087,4.682035684316497
20010,202.93802214882456,142.165733570485,5.941015990552458,137.84039798198623,5.1399356260560305,105.58942874444085,4.455717365363292,136.4314443491503,5.059014998627081
20020,203.039440450748,140.7793839450507,6.530329241317011,136.53719171264987,5.911548778450534,104.77191511185777,5.212868308330837,135.1456288106811,5.776566109616363
20030,203.14085875267148,140.89111958650363,6.833540783517722,136.3535991435286,6.147246225750194,104.28772733222847,5.317186440214411,135.00312004492923,6.0418321396076
20040,203.24227705459492,139.63644495941452,6.615284592517543,135.3637793702538,5.954651878993431,103.51535941336373,5.210172741857989,133.9726921536219,5.838672923500983
