SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
100.550385,9978.309,146.25111,6.4001055,142.31235,6.225031,108.92886,5.990407,140.73944,6.01372
101.050385,10027.927,145.90341,6.553697,141.97635,6.1292233,108.49262,5.864122,140.39372,5.966382
101.550385,10077.546,147.02908,6.8245773,142.08273,6.544855,107.70672,6.0547657,140.65237,6.386438
102.050385,10127.164,148.90723,7.784866,145.09645,7.274236,110.93058,6.820935,143.43985,7.137645
102.550385,10176.782,150.94698,9.486217,147.03806,9.265527,112.10329,9.028765,145.3468,9.119615
103.050385,10226.4,152.677,9.776527,148.31004,9.369018,113.89227,8.465219,146.7535,9.229131
103.550385,10276.02,150.98186,8.066922,146.79715,7.34329,111.932785,6.441604,145.1696,7.26899
104.050385,10325.638,145.7063,9.367107,142.16824,9.162831,108.833405,8.477613,140.51366,8.985966
104.550385,10375.256,140.16824,5.3597274,134.9667,5.18636,101.867516,5.130344,133.6828,5.0104494
105.050385,10424.875,140.79794,4.1250486,135.24608,4.0466266,100.775986,4.3469067,133.93765,3.8626451
105.550385,10474.493,141.53116,5.075748,136.43329,4.9650583,102.33104,5.023589,135.05493,4.8115487
106.050385,10524.112,145.24217,5.7741475,140.06535,5.4984946,105.67411,5.4792066,138.68289,5.3835673
106.550385,10573.73,146.16954,6.462959,141.18384,5.906172,106.48021,5.650843,139.7382,5.830164
107.050385,10623.349,146.09077,6.2110853,141.22089,5.719678,106.308426,5.583234,139.73555,5.6475897
107.550385,10672.967,150.3655,4.7611475,144.82825,4.587182,108.51249,4.786525,143.38347,4.436396
108.050385,10722.586,153.74858,4.464007,148.40012,4.3293266,111.98371,4.4026594,146.90793,4.1575794
108.550385,10772.204,154.25478,4.334872,148.87187,4.5685616,112.0444,4.7172303,147.35735,4.3309608
109.050385,10821.822,155.84285,4.562687,150.42537,4.538324,114.05248,4.5092726,148.95099,4.3464837
109.550385,10871.44,156.34207,4.332793,151.03522,4.499924,114.369965,4.497361,149.51622,4.2693925
110.050385,10921.06,157.38148,4.3296647,152.26483,4.5271626,115.9023,4.48891,150.72726,4.2715244
110.550385,10970.678,157.31021,5.100374,152.11975,5.1386075,115.8945,4.912825,150.60779,4.9215317
111.050385,11020.296,155.59058,8.711719,150.20352,8.990242,112.933304,8.478434,148.6579,8.750911
111.550385,11069.914,157.0157,4.91019,152.02356,5.0398784,115.340225,4.96494,150.43636,4.800748
112.050385,11119.533,153.31032,5.6444516,148.08682,5.8506145,111.64295,5.429284,146.56609,5.600722
112.550385,11169.151,156.57368,6.5240154,151.7354,6.824471,115.74105,6.465233,150.16522,6.578602
113.050385,11218.77,150.81639,7.075735,145.53966,6.7539325,111.635506,6.220077,144.21361,6.629233
113.550385,11268.388,143.65984,7.9035206,137.9276,7.799681,104.94943,7.472085,136.76524,7.6568666
114.050385,11318.007,146.49826,7.890263,141.19513,7.646539,109.998276,7.008511,140.07016,7.5081716
114.550385,11367.625,134.85289,9.791243,130.42947,9.209629,101.55407,8.035009,129.2851,9.126952
115.050385,11417.244,126.556885,10.645035,122.90341,10.482213,95.0466,9.061263,121.668884,10.275495
115.550385,11466.862,126.96079,10.438166,123.135765,10.151051,94.46687,8.78297,121.87907,9.984829
116.050385,11516.48,137.3698,11.31151,133.0038,10.77524,101.77884,8.6988945,131.67757,10.638136
116.550385,11566.1,137.61066,13.558111,133.31096,12.995378,102.05799,9.498981,131.96861,12.775935
117.050385,11615.718,146.96783,5.439073,141.6692,5.2121167,107.12642,5.1042695,140.3017,5.08685
117.550385,11665.336,147.03258,4.587313,141.72704,4.3077397,106.69658,4.5783906,140.32579,4.1847076
118.050385,11714.954,147.96158,5.429567,143.2386,5.3634706,108.34221,5.394105,141.72318,5.190547
118.550385,11764.573,149.03409,5.1232805,143.98535,4.9420905,108.90576,5.09045,142.52597,4.7868094
119.050385,11814.191,147.23975,5.2110677,142.43205,5.175724,107.36109,5.4081078,140.92204,4.994965
119.550385,11863.81,150.39027,5.554663,145.80392,5.4737525,110.40649,5.3536854,144.22328,5.2783165
120.050385,11913.428,152.40683,5.375186,147.427,5.3406305,111.07904,5.135993,145.86139,5.1143136
120.550385,11963.047,150.3302,5.941033,144.98044,5.8808722,109.17154,5.5949507,143.5324,5.7005143
121.050385,12012.665,150.3584,5.421916,144.77565,5.4114733,108.67518,5.2927084,143.3561,5.222027
121.550385,12062.283,152.11905,6.027185,146.66003,6.1873837,110.68381,5.6851287,145.22314,5.972949
122.050385,12111.902,156.52203,6.019075,151.5021,6.117928,114.85293,5.3311796,149.92328,5.8766065
122.550385,12161.5205,156.5959,5.8353434,151.63454,6.035415,114.920944,5.9007015,150.03859,5.797521
123.050385,12211.139,155.30817,5.4009423,150.66478,5.497738,114.75799,5.352107,149.0595,5.2525578
123.550385,12260.757,155.30731,5.887083,150.91293,5.874502,114.80346,5.834879,149.24008,5.6729503
124.050385,12310.376,159.88376,5.4286623,155.00249,5.327292,118.66511,5.584053,153.41669,5.1640224
124.550385,12359.994,160.51451,6.3511696,155.44698,6.1915016,120.28448,6.128693,153.9856,6.028069
125.050385,12409.613,157.47803,7.2393966,152.69965,7.0032682,119.27307,6.582987,151.30214,6.8415313
125.550385,12459.231,150.35684,7.8035307,144.29866,7.6590056,111.90546,7.597329,143.24783,7.5335097
126.050385,12508.85,112.35601,9.784576,105.39497,9.412847,75.34718,7.9915223,104.70544,9.275532
126.550385,12558.469,133.3521,10.322722,128.55028,9.569465,99.19151,8.903179,127.45145,9.57577
127.050385,12608.087,123.12331,6.7924943,118.94244,6.262461,94.44747,6.1737866,118.06275,6.201329
127.550385,12657.705,117.057625,9.4417,113.787636,8.690194,89.690216,7.809612,112.743,8.637977
128.05038,12707.323,133.88293,11.864838,130.13287,10.457435,101.21119,8.222278,128.842,10.498813
128.55038,12756.941,147.41457,5.693805,142.34222,4.9782205,112.530914,5.2524858,141.26823,4.9639115
129.05038,12806.56,143.89127,5.687528,138.10269,5.206251,108.099335,5.307156,137.1671,5.1431427
129.55038,12856.178,140.15771,5.4274035,134.33351,5.2140102,103.93963,5.226168,133.3773,5.072121
130.05038,12905.798,140.38368,6.319137,134.44795,6.207162,103.38084,6.219862,133.46684,6.065734
130.55038,12955.416,138.7169,5.5312014,132.70343,5.644048,101.602615,5.553622,131.7364,5.44257
131.05038,13005.035,138.27649,7.051907,132.24947,6.8915796,101.974205,6.91812,131.34494,6.7635355
131.55038,13054.653,136.13278,6.499873,129.86781,6.196797,98.70283,5.93604,128.94965,6.048491
132.05038,13104.271,136.58046,5.509162,129.92451,5.5982833,99.408356,4.9318795,129.1363,5.345176
132.55038,13153.89,133.13889,5.7434244,126.69465,5.7381034,97.021996,4.9205923,125.922325,5.511096
133.05038,13203.509,131.87724,8.575565,125.941216,8.419854,96.26294,6.608345,125.06044,8.183663
133.55038,13253.127,132.391,8.456404,127.18316,8.531376,98.64281,7.7775254,126.22974,8.319736
134.05038,13302.745,132.48097,7.678824,127.3813,7.414014,99.62828,6.317136,126.46172,7.213565
134.55038,13352.363,134.17317,8.557258,129.0254,8.343475,101.62771,6.9406605,128.14171,8.134299
135.05038,13401.982,128.6586,9.64783,124.369514,9.503988,97.53197,8.051118,123.343704,9.272291
135.55038,13451.601,133.60207,7.4885015,128.24954,6.953758,99.73462,5.5852585,127.32872,6.7667394
136.05038,13501.219,132.95294,7.8618383,127.91658,7.976972,99.98199,6.1970916,126.970436,7.6616077
136.55038,13550.837,,,,,,,,
137.05038,13600.456,,,,,,,,
137.55038,13650.074,,,,,,,,
138.05038,13699.692,,,,,,,,
138.55038,13749.311,92.855484,10.144923,92.407585,10.093127,70.45794,8.447565,90.91804,9.845345
139.05038,13798.93,93.30625,7.625987,92.881935,7.388655,70.505585,6.517355,91.35657,7.207136
139.55038,13848.548,89.73071,8.818964,89.483864,8.812834,68.18249,7.849131,87.99838,8.585348
140.05038,13898.166,88.81742,10.671118,88.241264,10.519282,65.73689,8.293001,86.73894,10.230228
140.55038,13947.785,89.10152,8.727624,88.34864,8.597021,65.91758,7.364467,86.88918,8.383446
141.05038,13997.403,82.95447,8.0510845,82.50323,7.6082826,61.19996,6.286049,81.061066,7.4184785
141.55038,14047.021,85.17333,9.804688,84.54887,9.493016,62.589455,7.859887,83.09615,9.281131
142.05038,14096.64,98.317116,12.948941,96.83574,12.252231,73.08737,10.230997,95.43605,12.123832
142.55038,14146.259,108.51362,14.516777,106.77872,13.986984,80.68698,11.427052,105.26373,13.799489
143.05038,14195.877,105.33991,18.026625,103.08105,17.686138,77.187614,14.6652565,101.69177,17.449331
143.55038,14245.495,92.039215,14.993331,89.14678,13.878696,64.76132,10.793974,88.00108,13.789393
144.05038,14295.113,77.758095,12.229529,76.940384,11.017047,56.173904,8.478004,75.61489,10.951897
144.55038,14344.732,105.172646,15.101167,104.838264,14.015555,77.22367,10.958827,102.91558,13.927993
145.05038,14394.351,131.27739,4.742966,128.54865,4.032298,95.85503,3.8461356,126.7683,4.0213094
145.55038,14443.969,133.53761,5.0630994,130.05035,4.0666337,96.65456,3.463031,128.38057,4.1020675
146.05038,14493.587,132.20009,6.227563,128.43925,5.4475155,95.13137,4.6913114,126.83398,5.444391
146.55038,14543.206,132.59698,5.1914735,128.73698,4.302654,95.15236,3.7013047,127.13281,4.312429
147.05038,14592.824,131.48444,5.0408974,128.04921,4.28186,94.73134,3.8281732,126.373985,4.2612805
147.55038,14642.442,131.71164,4.8600626,127.71642,4.158436,94.161964,3.7423997,126.14317,4.1285343
148.05038,14692.061,129.9813,5.0401797,125.68139,4.3899913,92.32734,3.9552147,124.187386,4.3523974
148.55038,14741.68,129.74892,4.7715297,125.59562,4.091289,92.93095,3.7339218,124.120224,4.0528936
149.05038,14791.298,130.99426,5.1050553,126.603386,4.2800927,93.895935,3.920571,125.175415,4.274896
149.55038,14840.916,127.972046,6.334396,123.518166,5.6283197,92.53808,4.5982723,122.228294,5.5649595
150.05038,14890.536,128.44489,5.761216,124.40259,5.0322504,93.28502,4.1488566,123.01529,4.997446
150.55038,14940.154,130.12886,4.8058534,125.82589,4.0871778,94.25002,3.4160283,124.46092,4.0474267
151.05038,14989.772,128.79958,5.307286,124.17127,4.602061,93.0717,3.7433982,122.90986,4.558976
151.55038,15039.392,128.04791,4.8722925,123.61193,4.2938356,92.81086,3.7636628,122.331184,4.2434616
152.05038,15089.01,127.26375,5.666148,122.786026,5.5766864,91.611336,4.7770395,121.487175,5.4089146
152.55038,15138.628,127.45108,6.2679634,123.18464,5.9481726,92.38153,5.06631,121.8677,5.8264318
153.05038,15188.246,122.686165,7.2744226,118.722404,7.012344,89.64754,6.263329,117.4659,6.8997703
153.55038,15237.865,109.6506,15.636806,106.63955,15.890422,79.63119,13.236449,105.3297,15.56207
154.05038,15287.483,116.60858,17.866354,112.98784,18.378426,82.703636,15.99164,111.57109,18.05903
154.55038,15337.102,112.64527,20.051575,109.1205,20.36388,79.810814,17.25102,107.75371,20.032835
155.05038,15386.72,111.216255,20.935757,107.789085,21.204004,78.35079,18.16671,106.39226,20.880138
155.55038,15436.339,113.16599,19.938074,110.00719,20.441286,79.9158,17.736479,108.50615,20.09648
156.05038,15485.957,119.10584,16.774578,116.00613,17.031094,84.64101,15.14194,114.400566,16.781261
156.55038,15535.575,128.06259,12.248997,124.77859,12.109588,91.42217,10.25217,123.068436,11.930215
157.05038,15585.193,134.23796,4.817249,130.3028,4.411329,95.88672,3.822398,128.65457,4.3080945
157.55038,15634.8125,130.84622,9.090544,126.74632,9.106144,93.31716,8.233981,125.20438,8.958789
158.05038,15684.431,121.49109,16.158924,117.164345,16.758055,85.87833,14.078894,115.825356,16.38882
