SB_DEPTH_pxl,SB_DEPTH_cm,CT,CT_std
114,1.1487925810302084,683.8269179260542,136.2881679185393
115,1.1588697089339823,692.163734534516,144.25544440141908
116,1.168946836837756,700.5005511429779,152.22272088429884
117,1.1790239647415297,708.8373677514397,160.1899973671786
118,1.1891010926453036,717.1741843599017,168.15727385005854
119,1.1991782205490773,725.0968723923727,176.3973298737684
120,1.209255348452851,730.6669036066386,186.18704144845148
121,1.219332476356625,736.2369348209044,195.97675302313456
122,1.2294096042603986,741.8069660351703,205.76646459781765
123,1.2394867321641723,747.376997249436,215.55617617250073
124,1.2495638600679462,752.9470284637018,225.3458877471838
125,1.2596409879717199,758.5170596779677,235.1355993218669
126,1.2697181158754935,761.5786177128082,240.90658205999168
127,1.2797952437792675,764.3440007829321,246.203074227065
128,1.2898723716830411,767.109383853056,251.4995663941383
129,1.2999494995868148,769.87476692318,256.7960585612116
130,1.3100266274905887,772.6401499933039,262.09255072828495
131,1.3201037553943624,775.4055330634278,267.3890428953582
132,1.330180883298136,778.6772980601828,270.8302465536142
133,1.34025801120191,782.2349942310268,273.22385195904656
134,1.3503351391056837,785.7926904018708,275.6174573644789
135,1.3604122670094574,789.3503865727148,278.01106276991135
136,1.3704893949132313,792.9080827435588,280.4046681753437
137,1.380566522817005,796.4657789144028,282.7982735807761
138,1.3906436507207787,800.2490084577267,284.33469846712893
139,1.4007207786245526,804.3942784147687,284.4951230465383
140,1.4107979065283263,808.5395483718104,284.6555476259477
141,1.4208750344321,812.6848183288521,284.81597220535707
142,1.4309521623358739,816.8300882858939,284.97639678476645
143,1.4410292902396475,820.9753582429356,285.13682136417583
144,1.4511064181434212,824.6731722141525,285.32925718556584
145,1.4611835460471951,825.3378738243141,285.7386834972385
146,1.4712606739509688,826.0025754344757,286.1481098089112
147,1.4813378018547425,826.6672770446374,286.5575361205839
148,1.4914149297585164,827.3319786547991,286.96696243225665
149,1.50149205766229,827.9966802649607,287.37638874392934
150,1.5115691855660638,828.6613818751223,287.78581505560203
151,1.5216463134698377,829.4301761082094,288.1947750979119
152,1.5317234413736114,830.2140752644971,288.6036674796833
153,1.541800569277385,830.9979744207848,289.0125598614547
154,1.551877697181159,831.7818735770725,289.4214522432261
155,1.5619548250849327,832.5657727333601,289.8303446249975
156,1.5720319529887063,833.3496718896478,290.2392370067689
157,1.5821090808924803,833.76871825777,291.242161933174
158,1.592186208796254,833.9622389797158,292.61227488122483
159,1.6022633367000276,834.1557597016616,293.9823878292757
160,1.6123404646038013,834.3492804236074,295.3525007773266
161,1.6224175925075752,834.5428011455532,296.72261372537747
162,1.632494720411349,834.7363218674991,298.09272667342833
163,1.6425718483151226,834.0570020912528,299.50608686530916
164,1.6526489762188965,831.8441347055248,300.9954308222988
165,1.6627261041226702,829.6312673197968,302.4847747792884
