SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
228.0,22625.494,988.7028,209.86655
228.5,22675.111,1018.8131,214.56775
229.0,22724.729,1071.7437,205.50874
229.5,22774.346,1136.3419,191.63495
230.0,22823.963,1168.2476,155.97156
230.5,22873.58,1173.6888,144.81062
231.0,22923.197,1036.3125,154.37198
231.5,22972.816,1017.1684,182.45497
232.0,23022.434,1086.3641,248.17201
232.5,23072.05,1158.9221,232.64429
233.0,23121.668,1157.8015,237.09529
233.5,23171.285,1148.371,244.18694
234.0,23220.902,1132.4675,241.73138
234.5,23270.52,1160.5168,244.05049
235.0,23320.137,1169.9011,152.67169
235.5,23369.754,1243.9247,187.41585
236.0,23419.371,1178.5273,210.92444
236.5,23468.988,1141.9033,181.28752
237.0,23518.605,1086.4286,175.46066
237.5,23568.223,1126.8864,161.38373
238.0,23617.842,1079.5227,150.69084
238.5,23667.457,1009.69684,78.12597
239.0,23717.076,1038.7081,60.03776
239.5,23766.693,1022.0565,74.94149
240.0,23816.31,1094.0189,105.356834
240.5,23865.928,1127.7756,94.749374
241.0,23915.545,1095.7643,47.221687
241.5,23965.162,1087.8337,30.268589
242.0,24014.78,1107.7179,107.52762
242.5,24064.396,1113.5059,145.36844
243.0,24114.014,1099.2877,65.05163
243.5,24163.63,1083.3174,35.633015
244.0,24213.248,1104.6777,104.50453
244.5,24262.865,1089.0638,159.74156
245.0,24312.482,1100.3845,74.9525
245.5,24362.1,1089.9219,123.419655
246.0,24411.717,1056.3064,52.699944
246.5,24461.334,1108.0763,258.45886
247.0,24510.951,1063.7816,46.87321
247.5,24560.57,1062.1536,59.250816
248.0,24610.186,1036.6293,35.070644
248.5,24659.805,1032.7686,31.557308
249.0,24709.422,1046.9623,82.589714
249.5,24759.04,1032.3363,28.87772
250.0,24808.656,1072.621,165.28345
250.5,24858.273,1035.2245,29.098423
251.0,24907.89,1056.7509,108.161964
251.5,24957.508,1036.384,44.01596
252.0,25007.125,1078.1635,76.85665
