SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
302.0,29867.309,656.9339,57.964367
302.5,29916.756,1017.7078,255.03644
303.0,29966.205,1125.3088,181.20694
303.5,30015.656,1150.4872,79.51972
304.0,30065.105,1082.2427,92.38494
304.5,30114.553,927.71497,162.04587
305.0,30164.004,821.451,143.38097
305.5,30213.451,757.1267,96.52467
306.0,30262.9,807.36365,148.16995
306.5,30312.35,1006.5322,236.83945
307.0,30361.799,1043.1288,197.10547
307.5,30411.248,1053.318,398.3895
308.0,30460.697,731.6265258789062,
308.5,30510.148,712.2977294921875,
309.0,30559.596,695.0799560546875,
309.5,30609.045,711.7808837890625,
310.0,30658.494,641.3466796875,
310.5,30707.943,557.048828125,
311.0,30757.393,555.2195434570312,
311.5,30806.844,598.6181030273438,
312.0,30856.29,574.79736328125,
312.5,30905.74,566.2210693359375,
313.0,30955.19,570.4574584960938,
313.5,31004.639,571.579,21.53946
314.0,31054.088,568.2996,27.678213
314.5,31103.537,562.0189,26.797594
315.0,31152.984,549.50775,30.133087
315.5,31202.436,553.68,31.468496
316.0,31251.885,531.7821,21.631891
316.5,31301.334,523.2557,36.039974
317.0,31350.783,533.4939,22.236794
317.5,31400.232,524.5204,21.162237
318.0,31449.682,539.5332,24.973446
318.5,31499.13,532.73914,26.74819
319.0,31548.58,532.95306,31.574482
319.5,31598.03,513.0724,14.74647
320.0,31647.477,518.74115,17.912807
320.5,31696.928,518.8509,20.636717
321.0,31746.377,532.99646,22.423927
321.5,31795.826,529.3787,22.151413
322.0,31845.275,508.21994,110.16747
322.5,31894.725,522.5146,28.363062
323.0,31944.172,524.5799,53.95012
323.5,31993.623,516.4833,41.869614
324.0,32043.072,518.0137,15.741262
324.5,32092.521,518.9304,16.932678
325.0,32141.97,517.75964,16.678673
325.5,32191.42,517.6229,22.850508
326.0,32240.867,519.7839,22.410297
326.5,32290.316,521.2619,15.182152
327.0,32339.768,520.5071,14.935487
327.5,32389.217,519.5769,13.889442
328.0,32438.664,521.04285,15.1085615
328.5,32488.115,522.5532,17.009336
329.0,32537.562,522.6719,14.368089
329.5,32587.012,526.28265,16.453602
330.0,32636.463,523.0667,15.369008
330.5,32685.91,524.92175,15.02776
331.0,32735.36,524.1052,13.08816
331.5,32784.81,522.4296875,
332.0,32834.258,522.980712890625,
332.5,32883.707,522.542724609375,
333.0,32933.156,521.4483032226562,
333.5,32982.605,523.0476,11.472714
334.0,33032.055,519.9853,11.036141
334.5,33081.504,522.368,19.461939
335.0,33130.953,523.7454,44.80452
335.5,33180.402,526.9668,18.209984
336.0,33229.85,524.0338,15.984765
336.5,33279.3,523.7823,19.729742
337.0,33328.75,520.87036,12.344166
337.5,33378.2,525.2449,11.8426075
338.0,33427.65,520.62085,16.410223
338.5,33477.098,520.2307,14.68428
339.0,33526.547,523.781,24.63342
339.5,33575.996,522.5852,15.349067
340.0,33625.445,520.37354,13.483691
340.5,33674.895,523.2783,13.259009
341.0,33724.344,519.6512,14.8721695
341.5,33773.793,517.14636,12.611842
342.0,33823.242,520.406,12.293596
342.5,33872.69,520.08624,12.430499
343.0,33922.14,520.6891,12.9543705
343.5,33971.59,525.397,28.06153
344.0,34021.04,522.50195,33.27355
344.5,34070.49,524.18823,28.871773
345.0,34119.938,524.2897,19.896606
345.5,34169.387,523.2448,39.523594
346.0,34218.836,523.9893798828125,
346.5,34268.285,519.47021484375,
347.0,34317.734,524.3641357421875,
347.5,34367.184,528.05255,15.526079
348.0,34416.633,525.76074,11.400304
348.5,34466.082,528.47375,34.636475
349.0,34515.53,524.59125,13.119409
349.5,34564.98,524.4909,19.725855
350.0,34614.43,526.3311,14.321738
350.5,34663.88,525.135,16.165401
351.0,34713.33,525.0237,16.185408
351.5,34762.777,526.0171,17.302216
