SB_DEPTH_cm,SB_DEPTH_pxl,R,R_std,G,G_std,B,B_std,Lumin,Lumin_std
355.05054,35114.367,141.76016,4.356436,127.9115,6.7654934,84.61062,4.5219626,127.7294,5.688638
355.55054,35163.816,142.09393,4.5103483,128.34848,6.8603716,84.68909,4.5994954,128.11856,5.7710857
356.05054,35213.266,141.66443,4.439972,128.27126,6.7396827,84.3239,4.570278,127.945656,5.659145
356.55054,35262.715,139.85829,4.3847036,126.5297,6.9294186,82.28347,4.8972216,126.168785,5.823188
357.05054,35312.164,137.83374,4.1883183,124.60785,7.040143,80.118805,5.586304,124.207565,6.00876
357.55054,35361.613,137.24432,4.6547537,123.89131,7.2693176,79.835175,5.2177777,123.54931,6.149975
358.05054,35411.066,136.49208,4.7342362,123.43838,7.346206,79.3166,5.3296337,123.028,6.2202544
358.55054,35460.516,137.8371,4.986982,124.31868,7.839841,80.206604,5.7893915,124.007805,6.6863046
359.05054,35509.965,135.43256,5.204729,122.27784,7.7716866,78.09551,6.423109,121.88457,6.796948
359.55054,35559.414,136.38667,4.8933916,123.11303,7.748836,78.19577,5.953968,122.69198,6.588266
360.05054,35608.863,136.27019,4.672552,123.286316,7.293941,78.74634,5.4987383,122.830894,6.2583966
360.55054,35658.316,136.98694,7.8646564,124.20458,9.884666,80.18884,7.99306,123.74418,8.961686
361.05054,35707.76,157.221,17.546434,144.41917,18.515629,94.44075,14.439388,143.5324,17.823093
361.55054,35757.215,175.3621,12.145651,160.29237,14.2739315,104.72819,12.712768,159.48445,13.415768
362.05054,35806.664,191.95056,11.015561,177.6929,13.802521,119.39628,13.006914,176.51506,12.893265
362.55054,35856.113,184.62845,9.701371,170.72324,12.526458,114.4267,11.230411,169.61487,11.54556
363.05054,35905.562,180.47952,10.512612,166.67075,13.528344,111.608734,12.517665,165.63101,12.557721
363.55054,35955.01,178.7014,8.507832,166.02829,11.144494,111.142715,9.345002,164.75984,10.120708
364.05054,36004.46,172.6778,10.651165,159.99158,12.260477,106.7548,9.453035,158.84499,11.410325
364.55054,36053.91,172.07195,15.394233,159.4641,16.546957,107.37785,13.124407,158.3839,15.858116
365.05054,36103.363,169.61746,17.101473,156.67491,17.98417,105.247086,13.497331,155.71341,17.257526
365.55054,36152.812,174.51392,19.330187,161.35849,20.087873,109.58853,15.113583,160.41754,19.367893
366.05054,36202.26,172.71979,21.03262,159.61652,21.508131,108.10838,16.589607,158.68338,20.881968
366.55054,36251.71,173.91841,20.9944,160.30443,21.46657,108.500496,16.364658,159.45853,20.8288
367.05054,36301.16,168.31528,21.687737,155.37685,22.06563,104.67317,16.948547,154.46675,21.434992
367.55054,36350.613,172.60085,21.712038,159.3377,22.37653,108.030945,17.394558,158.4531,21.72282
368.05054,36400.06,179.48743,18.93177,165.67676,19.6916,113.02518,15.509154,164.81146,19.036142
368.55054,36449.51,179.30383,19.226559,165.4525,19.901651,112.85897,15.0863085,164.60004,19.228907
369.05054,36498.96,175.89844,21.573814,161.44978,22.066343,109.43199,16.953732,160.76588,21.423376
369.55054,36548.41,173.28406,20.973322,159.1556,21.037285,106.63713,15.450002,158.36748,20.44869
370.05054,36597.86,182.18912,20.027903,168.50032,20.358044,114.06822,15.792236,167.48056,19.804523
