SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
98.99875,2.0,20.922962,11.128508,16.89334,,1.322663,62.740845,1423.3228,0.8278888
99.49875,2.0,21.423588,11.126506,12.387702,,1.4238896,63.11071,1531.1932,0.7692154
99.99875,2.0,21.924213,11.126118,9.24843,,1.5046829,63.975197,1618.2933,0.7223797
100.49875,2.0,22.42484,11.130624,10.249683,,1.5235566,66.33855,1642.4526,0.71141595
100.99875,2.0,22.925468,11.134251,11.125469,,1.5289172,69.420044,1650.6348,0.70829403
101.49875,2.0,23.426098,11.135252,11.626099,,1.4938731,74.64883,1611.0444,0.72861964
101.99875,2.0,23.926727,11.136887,12.126728,,1.4633152,79.378815,1576.6841,0.74634725
102.49875,2.0,24.427355,11.140391,12.627355,,1.4459935,82.63714,1557.7544,0.7564098
102.99875,2.0,24.92798,11.142872,13.0,,1.4385264,85.278175,1549.7811,0.76075166
103.49875,2.0,25.428606,11.142371,13.0,,1.4597529,86.12183,1573.7096,0.7484363
103.99875,2.0,25.929234,11.1418705,12.741532,,1.4954925,85.92659,1612.8956,0.7276948
104.49875,2.0,26.42986,11.14137,11.740279,,1.5729394,82.74576,1695.929,0.68273854
104.99875,2.0,26.930487,11.141652,10.086594,,1.6192783,81.139244,1745.643,0.65584165
105.49875,2.0,27.431112,11.1441555,6.5822086,,1.5773758,83.998474,1700.8429,0.6801721
105.99875,2.0,27.93174,11.145078,5.3174047,,1.5409405,86.44397,1662.1235,0.70131445
106.49875,2.0,28.43237,11.141573,10.323707,,1.5198139,87.730934,1640.4308,0.7135298
106.99875,2.0,28.932999,11.140064,13.734,,1.5067472,88.24545,1626.6666,0.7210902
107.49875,2.0,29.433626,11.144069,12.732747,,1.5159587,86.624825,1634.8184,0.7157836
107.99875,2.0,29.934252,11.146194,12.0,,1.5416027,84.056114,1661.1377,0.70093155
108.49875,2.0,30.434877,11.14319,12.0,,1.612091,78.900116,1737.0361,0.6600304
108.99875,2.0,30.935505,11.1415415,11.59348,,1.6399624,75.5579,1767.428,0.6438455
109.49875,2.0,31.436136,11.143545,10.09159,,1.5530031,77.10294,1675.2019,0.694259
109.99875,2.0,31.936766,11.144179,10.094127,,1.4685465,78.40264,1584.6462,0.7432363
110.49875,2.0,32.437393,11.141176,14.099138,,1.3907492,79.04961,1498.5344,0.7883928
110.99875,2.0,32.93802,11.139828,16.723963,,1.3267124,78.5084,1427.8093,0.825558
111.49875,2.0,33.438644,11.142832,15.72271,,1.2988275,74.84562,1397.5089,0.8417282
111.99875,2.0,33.93927,11.144861,14.1643715,,1.2761792,70.67625,1372.9083,0.85486233
112.49875,2.0,34.439896,11.144361,11.160613,,1.2671179,65.19249,1363.0966,0.8601189
112.99875,2.0,34.940525,11.141751,7.7352815,1075.6047,1.2545574,60.09764,1349.4415,0.8674131
113.49875,2.0,35.44115,11.133741,3.229644,1075.351,1.2330306,55.999413,1325.9376,0.87992877
113.99875,2.0,35.941776,11.128568,0.9924469,1074.9296,1.2151473,51.90639,1306.1769,0.89031774
114.49875,2.0,36.442406,11.130569,4.4968586,1074.0846,1.2064863,47.826557,1295.8904,0.89532405
114.99875,2.0,36.943035,11.130999,7.7151875,1073.3844,1.2018162,44.14888,1290.0496,0.8980132
115.49875,2.0,37.443665,11.127495,10.218319,1073.0465,1.2071228,41.476585,1295.3228,0.89490926
115.99875,2.0,37.94429,11.124423,12.0,1072.8998,1.2091107,39.181225,1297.2657,0.8937389
116.49875,2.0,38.444916,11.12242,12.0,1073.2252,1.202903,37.816715,1290.9849,0.8973434
116.99875,2.0,38.945545,11.119399,11.708912,1073.3015,1.1979616,36.508575,1285.7683,0.9002202
117.49875,2.0,39.446175,11.113892,10.707651,1072.7698,1.1961092,35.33795,1283.148,0.9013216
117.99875,2.0,39.946804,11.109706,10.146804,1072.4417,1.1953285,34.2173,1281.9167,0.90179175
118.49875,2.0,40.44743,11.108705,10.647429,1072.6038,1.1971308,33.2171,1284.0333,0.9007404
118.99875,2.0,40.948055,11.103559,11.444169,1071.9838,1.1974376,32.385105,1283.6138,0.9005626
119.49875,2.0,41.44868,11.088539,12.946048,1069.5012,1.1941836,31.953665,1277.1547,0.902465
119.99875,2.0,41.949306,11.079195,13.701382,1067.7205,1.1920195,31.445614,1272.7063,0.9037253
120.49875,2.0,42.449936,11.0831995,12.7001295,1067.5913,1.19242,30.757303,1272.9893,0.90347505
120.99875,2.0,42.95056,11.085548,11.849438,1067.5348,1.1915557,30.308565,1272.0146,0.90396243
121.49875,2.0,43.451187,11.084046,11.348812,1067.6475,1.1877509,30.416851,1268.1162,0.90616524
121.99875,2.0,43.951817,11.084367,11.455447,1067.9358,1.1861019,30.358444,1266.7141,0.9071231
122.49875,2.0,44.452446,11.088872,12.957338,1068.6277,1.1894062,29.917038,1271.0476,0.90522075
122.99875,2.0,44.953075,11.092,13.846925,1069.187,1.190062,29.552217,1272.3993,0.9048491
123.49875,2.0,45.4537,11.092,13.346298,1069.4453,1.1847054,29.361279,1266.9811,0.90795296
123.99875,2.0,45.954327,11.092,13.462983,1069.7833,1.1820494,29.103561,1264.5516,0.90948266
124.49875,2.0,46.454952,11.092,14.964863,1070.2999,1.1854538,28.696001,1268.829,0.9074802
124.99875,2.0,46.95558,11.092,15.377673,1070.7365,1.1862754,28.452003,1270.2336,0.9069868
125.49875,2.0,47.45621,11.092,13.375152,1070.9952,1.1813691,28.570753,1265.2675,0.9098404
125.99875,2.0,47.95684,11.090902,12.313683,1070.8242,1.1778117,28.665146,1261.2366,0.9119098
126.49875,2.0,48.457466,11.087398,13.314935,1069.7108,1.177211,28.706146,1259.2561,0.91226023
126.99875,2.0,48.95809,11.094644,13.841907,1069.9609,1.176879,28.560345,1259.1786,0.9124684
127.49875,2.0,49.45872,11.125182,13.34128,1073.1654,1.1771294,28.009806,1263.2241,0.91236824
127.99875,2.0,49.959347,11.142016,13.0,1074.6362,1.1783836,27.637209,1266.3037,0.9116626
128.49875,2.0,50.459972,11.1295,13.0,1072.3939,1.1817878,27.64572,1267.3145,0.9096601
128.99875,2.0,50.960598,11.118913,13.321198,1071.0846,1.1833613,27.787737,1267.4597,0.9087336
129.49875,2.0,51.461224,11.112404,14.322452,1071.7505,1.1810584,28.212418,1265.7727,0.9100853
129.99875,2.0,51.961853,11.112208,14.3525915,1072.6072,1.1790792,28.374947,1264.6598,0.9112428
130.49875,2.0,52.46248,11.125224,12.350085,1073.8632,1.1777775,27.988764,1264.7489,0.91199374
130.99875,2.0,52.963104,11.133021,11.163105,1074.6155,1.1772425,27.72716,1265.0708,0.912288
131.49875,2.0,53.46373,11.130017,11.663732,1074.3257,1.1782938,27.723356,1265.8743,0.9116371
131.99875,2.0,53.96436,11.126192,12.657441,1073.5319,1.1783261,27.749744,1264.9784,0.91159445
132.49875,2.0,54.464993,11.120685,14.659977,1071.707,1.1762736,27.837906,1260.606,0.912796
132.99875,2.0,54.965626,11.118656,16.496878,1070.731,1.1757448,27.865265,1258.8701,0.91311973
133.49875,2.0,55.46625,11.123662,17.998756,1071.4713,1.1782979,27.769646,1262.467,0.9116679
133.99875,2.0,55.966877,11.126833,18.165607,1072.2078,1.1792657,27.832243,1264.3677,0.9111172
